,avg_price,retailers,commercials,noncommercials
2015-01-01,1500.01,,,
2015-04-01,1519.44,,,
2015-07-01,1536.12,,,
2015-10-01,1549.85,,,
2016-01-01,1565.67,,,
2016-04-01,1578.91,,,
2016-07-01,1597.20,,,
2016-10-01,1621.63,,,
2017-01-01,1637.27,,,
2017-04-01,1652.29,,,
2017-07-01,1672.64,,,
2017-10-01,1692.35,,,
2018-01-01,1710.86,,,
2018-04-01,1724.39,,,
2018-07-01,1742.25,,,
2018-10-01,1763.59,,,
2019-01-01,1775.14,,,
2019-04-01,1790.94,,,
2019-07-01,1799.81,,,
2019-10-01,1811.62,,,
2020-01-01,1820.78,,,
2020-04-01,1841.66,,,
2020-07-01,1873.68,,,
2020-10-01,1923.08,,,
2021-01-01,1979.84,,,
2021-04-01,2041.68,100.00,67.87,100.00
2021-07-01,2098.27,100.00,65.35,100.00
2021-10-01,2169.73,100.00,91.03,100.00
2022-01-01,2248.48,100.00,100.00,100.00
2022-04-01,2332.57,100.00,84.63,96.34
2022-07-01,2413.07,100.00,65.95,89.89
2022-10-01,2502.67,100.00,85.62,83.45
2023-01-01,2593.71,100.00,100.00,79.46
2023-04-01,2689.23,100.00,96.43,80.30
2023-07-01,2797.22,100.00,67.63,86.08
2023-10-01,2899.61,100.00,85.18,96.45
2024-01-01,3008.95,100.00,100.00,100.00
2024-04-01,3125.82,100.00,78.53,100.00
2024-07-01,3238.67,100.00,59.91,100.00
2024-10-01,3356.71,100.00,71.04,100.00
2025-01-01,3478.67,100.00,96.29,100.00
2025-04-01,3603.16,100.00,75.72,96.18
2025-07-01,3724.15,100.00,70.11,89.63
2025-10-01,3854.02,100.00,86.32,83.07
2026-01-01,3992.60,100.00,100.00,79.40
2026-04-01,4119.73,100.00,88.22,80.07
