,mortgage_stock,nfc_loans_stock,avg_price_sqm
2015-01-01,3.5000,1.3999,1503.0995
2015-02-01,3.6120,1.4783,1511.7283
2015-03-01,3.7205,1.5550,1516.8938
2015-04-01,3.8234,1.6268,1524.2829
2015-05-01,3.9221,1.6964,1530.9645
2015-06-01,4.0117,1.7567,1532.2601
2015-07-01,4.0960,1.8097,1538.7109
2015-08-01,4.1743,1.8522,1544.6004
2015-09-01,4.2359,1.8851,1550.7502
2015-10-01,4.2857,1.9065,1554.8119
2015-11-01,4.3274,1.9211,1560.3270
2015-12-01,4.3572,1.9230,1566.0062
2016-01-01,4.3754,1.9167,1574.1447
2016-02-01,4.3803,1.8997,1580.7467
2016-03-01,4.3793,1.8736,1586.7367
2016-04-01,4.3734,1.8411,1595.4888
2016-05-01,4.3555,1.8030,1600.4894
2016-06-01,4.3369,1.7620,1605.7884
2016-07-01,4.3121,1.7187,1608.5183
2016-08-01,4.2899,1.6755,1617.3427
2016-09-01,4.2687,1.6325,1625.0785
2016-10-01,4.2573,1.5940,1632.7288
2016-11-01,4.2494,1.5645,1639.9328
2016-12-01,4.2548,1.5383,1646.1311
2017-01-01,4.2698,1.5198,1652.5189
2017-02-01,4.2949,1.5125,1658.0653
2017-03-01,4.3246,1.5168,1663.6989
2017-04-01,4.3732,1.5273,1669.7966
2017-05-01,4.4363,1.5503,1678.5179
2017-06-01,4.5125,1.5831,1685.5181
2017-07-01,4.5956,1.6243,1691.4129
2017-08-01,4.6932,1.6784,1696.3700
2017-09-01,4.7993,1.7395,1701.2270
2017-10-01,4.9144,1.8076,1710.1119
2017-11-01,5.0423,1.8797,1717.0239
2017-12-01,5.1692,1.9573,1723.1455
2018-01-01,5.3013,2.0353,1728.5224
2018-02-01,5.4371,2.1139,1732.5261
2018-03-01,5.5669,2.1891,1738.4057
2018-04-01,5.6948,2.2606,1745.9783
2018-05-01,5.8181,2.3306,1751.2717
2018-06-01,5.9342,2.3910,1756.8627
2018-07-01,6.0377,2.4444,1762.4648
2018-08-01,6.1356,2.4881,1768.6621
2018-09-01,6.2270,2.5213,1771.7947
2018-10-01,6.2979,2.5438,1777.3710
2018-11-01,6.3652,2.5574,1781.8331
2018-12-01,6.4191,2.5592,1789.4253
2019-01-01,6.4599,2.5512,1794.0382
2019-02-01,6.4995,2.5342,1801.0769
2019-03-01,6.5267,2.5109,1809.8209
2019-04-01,6.5407,2.4799,1815.2564
2019-05-01,6.5536,2.4432,1820.1736
2019-06-01,6.5648,2.4014,1826.5182
2019-07-01,6.5724,2.3566,1832.5145
2019-08-01,6.5837,2.3152,1836.7260
2019-09-01,6.5956,2.2757,1843.5557
2019-10-01,6.6150,2.2382,1853.1836
2019-11-01,6.6439,2.2071,1858.7190
2019-12-01,6.6748,2.1831,1864.3538
2020-01-01,6.7188,2.1673,1868.4729
2020-02-01,6.7722,2.1609,1873.2473
2020-03-01,6.8399,2.1625,1878.2775
2020-04-01,6.9163,2.1774,1885.4676
2020-05-01,7.0079,2.1989,1898.4636
2020-06-01,7.1138,2.2340,1908.8106
2020-07-01,7.2356,2.2785,1923.8679
2020-08-01,7.3697,2.3328,1940.7476
2020-09-01,7.5064,2.3967,1956.2914
2020-10-01,7.6537,2.4669,1973.2387
2020-11-01,7.8127,2.5385,1993.5232
2020-12-01,7.9686,2.6129,2010.7124
2021-01-01,8.1326,2.6929,2027.9217
2021-02-01,8.2989,2.7702,2044.4616
2021-03-01,8.4686,2.8471,2064.1812
2021-04-01,8.6334,2.9216,2087.1304
2021-05-01,8.7902,2.9871,2109.7625
2021-06-01,8.9401,3.0451,2129.5683
2021-07-01,9.0824,3.0985,2150.1071
2021-08-01,9.2210,3.1424,2171.8373
2021-09-01,9.3432,3.1758,2195.5438
2021-10-01,9.4551,3.1992,2218.8822
2021-11-01,9.5582,3.2105,2243.4900
2021-12-01,9.6491,3.2105,2268.7465
2022-01-01,9.7296,3.2025,2293.4197
2022-02-01,9.7980,3.1840,2319.0356
2022-03-01,9.8620,3.1564,2345.5624
2022-04-01,9.9180,3.1252,2372.0229
2022-05-01,9.9746,3.0878,2399.9882
2022-06-01,10.0266,3.0475,2430.8532
2022-07-01,10.0759,3.0032,2459.8463
2022-08-01,10.1287,2.9594,2488.2963
2022-09-01,10.1818,2.9170,2514.0255
2022-10-01,10.2450,2.8784,2543.8955
2022-11-01,10.3124,2.8467,2569.9637
2022-12-01,10.3909,2.8204,2597.3936
2023-01-01,10.4742,2.8039,2629.2860
2023-02-01,10.5748,2.7967,2661.2931
2023-03-01,10.6819,2.8019,2692.1353
2023-04-01,10.8014,2.8125,2720.5399
2023-05-01,10.9401,2.8372,2751.7195
2023-06-01,11.0904,2.8708,2782.7062
2023-07-01,11.2572,2.9146,2816.4164
2023-08-01,11.4428,2.9654,2853.3950
2023-09-01,11.6296,3.0258,2887.0465
2023-10-01,11.8264,3.0949,2919.2467
2023-11-01,12.0337,3.1681,2951.0803
2023-12-01,12.2477,3.2452,2985.2537
2024-01-01,12.4635,3.3235,3019.5396
2024-02-01,12.6809,3.4040,3052.3969
2024-03-01,12.9008,3.4809,3087.8586
2024-04-01,13.1178,3.5509,3121.3580
2024-05-01,13.3255,3.6178,3159.2462
2024-06-01,13.5304,3.6760,3197.3572
2024-07-01,13.7281,3.7241,3235.8166
2024-08-01,13.9137,3.7671,3271.7757
2024-09-01,14.0939,3.8029,3309.8167
2024-10-01,14.2606,3.8263,3346.9933
2024-11-01,14.4228,3.8372,3384.0043
2024-12-01,14.5726,3.8380,3421.3984
2025-01-01,14.7126,3.8319,3457.3545
2025-02-01,14.8419,3.8152,3493.3394
2025-03-01,14.9654,3.7901,3533.6388
2025-04-01,15.0772,3.7581,3572.4473
2025-05-01,15.1877,3.7208,3612.2703
2025-06-01,15.3010,3.6811,3653.7850
2025-07-01,15.4063,3.6392,3690.6530
2025-08-01,15.5233,3.5967,3729.5027
2025-09-01,15.6363,3.5542,3770.3507
2025-10-01,15.7637,3.5177,3811.8581
2025-11-01,15.8942,3.4847,3852.2479
2025-12-01,16.0401,3.4612,3895.4339
2026-01-01,16.1954,3.4423,3937.4088
2026-02-01,16.3583,3.4343,3977.0818
2026-03-01,16.5438,3.4365,4017.5223
2026-04-01,16.7443,3.4472,4061.3449
