side,failed,day_move_pct,fail_time,opp_accept,re_accept,first_after_fail,close_against,close_beyond_opp,close_back_beyond_orig
short,False,-2.315907115360727,,,,,,,
short,True,-0.4141710207722693,11:00:00,False,True,same,False,False,True
short,True,-0.6641123882503264,11:00:00,False,True,same,False,False,True
short,True,0.03838526006014753,11:15:00,True,False,opposite,True,False,False
long,True,0.22443090734209914,15:15:00,False,False,none,False,False,False
short,True,-0.25705288863183684,13:45:00,False,True,same,False,False,True
short,True,0.3527449974345842,11:30:00,True,True,same,True,True,False
short,True,-1.3990928256564117,12:15:00,False,True,same,False,False,True
long,False,0.6781193490054349,,,,,,,
long,False,1.2562004767119772,,,,,,,
short,False,-1.7123941689477395,,,,,,,
long,True,-0.8117308195862649,10:15:00,True,True,same,True,True,False
long,True,-1.2102874432677657,10:45:00,True,False,opposite,True,True,False
short,True,-1.5470420290817355,11:15:00,False,True,same,False,False,True
long,True,-0.1676389727083727,11:30:00,True,False,opposite,True,True,False
short,True,0.6004403229034727,10:45:00,True,True,same,True,True,False
long,True,0.13302294645827217,13:00:00,False,True,same,False,False,True
short,False,-0.8211920529801353,,,,,,,
long,True,0.19798059790141487,13:45:00,False,True,same,False,False,False
long,True,0.09862581366295586,10:45:00,False,True,same,False,False,True
short,True,-0.1637733377006234,10:30:00,True,True,opposite,False,False,False
short,False,-0.652560806802438,,,,,,,
long,True,1.818423148393955,11:45:00,False,True,same,False,False,True
short,True,-0.42359074617138726,10:45:00,False,True,same,False,False,True
long,True,0.261848651479446,11:45:00,False,False,none,False,False,False
short,False,-1.7556454770917718,,,,,,,
short,True,-0.19868865487780996,12:15:00,True,True,same,False,False,False
long,False,1.7964071856287456,,,,,,,
long,False,0.6504911207962039,,,,,,,
long,True,-0.15555123468793397,11:45:00,True,True,opposite,True,False,False
short,False,-1.6132167152575372,,,,,,,
long,True,-0.42715384109877075,10:30:00,True,False,opposite,True,True,False
long,True,-0.3927834365221927,12:15:00,True,True,same,True,True,False
short,True,-0.3260797231649737,10:15:00,False,True,same,False,False,False
long,False,1.538667380251546,,,,,,,
long,True,0.6594566077552155,13:15:00,False,True,same,False,False,True
short,True,-0.5200105318588832,11:30:00,False,True,same,False,False,True
long,True,0.6922468354430444,10:15:00,True,True,same,False,False,True
long,False,0.4941036958956424,,,,,,,
short,False,-1.039895356442122,,,,,,,
long,False,1.2525411502393613,,,,,,,
short,True,-0.836847226727222,13:00:00,False,True,same,False,False,True
long,True,-0.38584788437642237,12:00:00,True,False,opposite,True,True,False
short,True,-0.25553662691653045,13:30:00,False,False,none,False,False,False
