side,made_new_ext,mins,pull_pts,pull_pct,dist_edge_pts,dist_edge_pct
short,True,2.0,0.5,7.142857142857142,4.5,64.28571428571429
short,True,39.0,7.5,68.80733944954216,-5.0,-45.8715596330281
short,True,5.0,1.0,14.285714285714285,-0.5,-7.142857142857142
short,True,8.0,1.5,23.076923076923077,1.8999999999998636,29.230769230767134
long,True,2.0,1.5,16.85393258426949,4.0,44.94382022471864
short,True,26.0,4.0,61.53846153846154,-0.5,-7.6923076923076925
short,True,8.0,2.0,15.384615384615385,2.0,15.384615384615385
short,True,0.0,0.0,0.0,1.0,11.76470588235294
long,True,0.0,1.0,15.384615384615385,3.0,46.15384615384615
long,True,0.0,-0.5,-10.0,3.5,70.0
short,True,3.0,0.5,6.666666666666667,0.0,0.0
long,True,6.0,2.0,25.316455696202965,0.0,0.0
long,True,4.0,2.0,25.0,-1.0,-12.5
short,True,77.0,8.0,73.39449541284495,-3.5,-32.11009174311967
long,True,0.0,0.0,0.0,3.0,31.57894736842105
short,True,37.0,6.899999999999864,172.4999999999966,-6.399999999999864,-159.9999999999966
long,True,39.0,3.400000000000091,45.333333333334544,1.0,13.333333333333334
short,True,0.0,0.5,6.7567567567566735,4.5,60.81081081081007
long,True,10.0,0.5,7.142857142857142,1.5,21.428571428571427
long,True,4.0,1.0,22.22222222222222,-0.5,-11.11111111111111
short,True,289.0,12.0,184.6153846153846,-10.0,-153.84615384615387
short,True,0.0,0.0,0.0,2.5,46.29629629629747
long,True,4.0,0.5,4.032258064516099,0.0,0.0
short,True,78.0,3.5,58.333333333333336,-2.5,-41.66666666666667
long,True,16.0,2.0,22.22222222222222,0.5,5.555555555555555
short,True,0.0,0.0,0.0,2.5,31.25
short,True,0.0,0.0,0.0,4.0,66.66666666666666
long,True,7.0,2.0,25.0,2.5,31.25
long,True,3.0,0.5,9.090909090909092,2.0,36.36363636363637
long,True,0.0,0.0,0.0,1.5,20.0
short,True,0.0,0.5,7.6923076923076925,5.0,76.92307692307693
long,False,,11.0,220.00000000000003,-10.5,-210.0
long,True,0.0,2.0,30.76923076923077,3.0,46.15384615384615
short,True,242.0,7.5,93.75,-6.5,-81.25
long,True,9.0,0.5,5.0,0.0,0.0
long,True,5.0,1.0,14.285714285714285,-0.5,-7.142857142857142
short,True,20.0,2.5,33.33333333333333,-1.5,-20.0
long,True,27.0,3.0,37.5,-1.5,-18.75
long,True,13.0,3.0,66.66666666666666,-2.5,-55.55555555555556
short,True,1.0,0.5,8.333333333333332,4.0,66.66666666666666
long,True,0.0,0.0,0.0,4.5,26.47058823529412
short,True,4.0,2.0,18.181818181818183,-1.5,-13.636363636363635
long,True,3.0,1.0,13.333333333333334,0.0,0.0
short,True,0.0,-0.5,-5.31914893617016,2.5,26.595744680850803
short,True,0.0,0.5,3.7037037037037033,3.8999999999998636,28.888888888887877
short,True,3.0,0.5,5.952380952380889,1.5,17.857142857142662
short,True,0.0,0.5,10.0,3.5,70.0
short,True,0.0,0.5,7.246376811594107,1.0,14.492753623188214
long,True,116.0,5.399999999999864,72.97297297297247,-2.3999999999998636,-32.432432432431185
long,True,0.0,0.5,7.142857142857142,3.0,42.857142857142854
long,False,,9.400000000000091,136.23188405797052,-8.900000000000091,-128.98550724637644
long,True,3.0,0.5,9.090909090909092,0.5,9.090909090909092
long,True,6.0,0.5,9.090909090909092,0.0,0.0
short,True,40.0,3.5,50.0,-2.0,-28.57142857142857
short,True,7.0,-0.5,-8.474576271186637,3.0,50.847457627119816
short,False,,18.40000000000009,266.66666666666447,-17.90000000000009,-259.4202898550704
long,True,13.0,2.0,30.76923076923077,0.5,7.6923076923076925
long,True,30.0,2.900000000000091,64.44444444444648,0.0,0.0
short,True,1.0,0.0,0.0,1.0,25.0
short,True,0.0,1.0,16.666666666666664,3.5,58.333333333333336
short,True,0.0,0.5,4.3859649122806665,0.5,4.3859649122806665
short,True,33.0,6.0,109.09090909090908,-5.5,-100.0
short,True,2.0,1.5,23.076923076923077,4.5,69.23076923076923
short,True,2.0,-0.5,-4.761904761904762,0.900000000000091,8.571428571429438
long,False,,13.400000000000091,142.55319148936124,-9.900000000000091,-105.31914893617014
short,True,0.0,-0.5,-7.142857142857142,3.5,50.0
short,True,0.0,0.0,0.0,2.0,17.391304347826086
short,True,48.0,6.0,75.0,-5.5,-68.75
short,True,18.0,3.5,53.84615384615385,-0.5,-7.6923076923076925
long,False,,11.0,220.00000000000003,-7.0,-140.0
long,True,0.0,0.5,11.11111111111111,5.5,122.22222222222223
short,False,,19.40000000000009,258.6666666666679,-19.0,-253.33333333333331
short,True,132.0,8.399999999999864,104.9999999999983,-7.0,-87.5
short,True,10.0,1.5,21.428571428571427,4.0,57.14285714285714
short,True,1.0,0.5,8.333333333333332,1.0,16.666666666666664
long,True,214.0,8.400000000000091,113.51351351351336,-7.900000000000091,-106.75675675675666
long,True,0.0,0.0,0.0,1.0,20.0
long,True,128.0,4.5,69.23076923076923,-3.5,-53.84615384615385
short,True,0.0,0.0,0.0,0.5,8.333333333333332
short,True,1.0,0.5,10.0,1.5,30.0
short,True,160.0,9.0,225.0,-7.5,-187.5
short,True,0.0,0.0,0.0,0.5,6.666666666666667
long,True,6.0,1.5,21.428571428571427,-1.0,-14.285714285714285
long,True,11.0,3.3999999999998636,45.33333333333152,-1.5,-20.0
long,True,166.0,5.0,62.5,-2.5,-31.25
short,True,0.0,0.0,0.0,2.5,45.45454545454545
long,True,0.0,0.5,7.142857142857142,0.0,0.0
long,True,57.0,5.0,62.5,-4.0,-50.0
long,True,2.0,0.5,9.090909090909092,0.0,0.0
long,True,29.0,1.0,12.5,1.5,18.75
long,True,3.0,0.5,8.333333333333332,0.5,8.333333333333332
short,True,0.0,0.0,0.0,0.5,20.0
long,True,0.0,0.0,0.0,4.5,81.81818181818183
long,True,5.0,0.0,0.0,1.0,25.0
short,False,,11.0,146.66666666666666,-7.5,-100.0
long,True,0.0,-0.5,-8.333333333333332,15.5,258.33333333333337
long,True,0.0,1.0,12.5,0.0,0.0
short,True,1.0,1.5,23.076923076923077,1.0,15.384615384615385
short,True,0.0,0.0,0.0,2.5,50.0
long,True,2.0,0.5,7.142857142857142,3.5,50.0
short,True,189.0,8.0,133.33333333333331,-6.5,-108.33333333333333
short,True,0.0,0.0,0.0,3.0,75.0
short,True,4.0,1.5,16.666666666666664,1.0,11.11111111111111
short,True,0.0,0.5,4.032258064516099,2.0,16.129032258064395
short,False,,17.90000000000009,596.6666666666697,-16.40000000000009,-546.6666666666697
long,True,78.0,4.0,50.63291139240448,-3.900000000000091,-49.36708860759552
short,True,32.0,4.0,62.500000000001336,-3.5,-54.687500000001165
long,True,3.0,1.0,10.0,1.0,10.0
short,True,25.0,3.5,54.687499999999226,-1.5,-23.437499999999666
short,True,2.0,0.0,0.0,0.900000000000091,12.000000000001213
long,True,3.0,0.5,8.474576271186637,0.0,0.0
short,True,217.0,6.900000000000091,92.00000000000121,-5.5,-73.33333333333333
short,True,0.0,0.5,10.0,-0.10000000000013642,-2.0000000000027285
long,True,0.0,0.5,10.0,0.0,0.0
long,True,0.0,0.0,0.0,9.5,237.5
long,True,1.0,0.0,0.0,1.599999999999909,23.188405797099826
long,True,0.0,1.0,9.61538461538453,0.09999999999990905,0.9615384615375785
long,True,0.0,-0.5,-9.090909090909092,2.5,45.45454545454545
long,True,0.0,0.5,8.333333333333332,3.5,58.333333333333336
